Length(mm),B.n(Tesla)
8.21881254e+000,-1.97841435e-002
8.23749166e+000,-2.15749876e-002
8.25617078e+000,-2.33658317e-002
8.27484990e+000,-2.51566757e-002
8.29352902e+000,-2.67616883e-002
8.31220814e+000,-2.78003491e-002
8.33088726e+000,-2.88421570e-002
8.34956638e+000,-3.06810496e-002
8.36824550e+000,-3.25199422e-002
8.38692462e+000,-3.43588347e-002
8.40560374e+000,-3.61977273e-002
8.42428286e+000,-3.80366198e-002
8.44296197e+000,-3.98755124e-002
8.46164109e+000,-4.17144049e-002
8.48032021e+000,-4.35532975e-002
8.49899933e+000,-4.53921901e-002
8.51767845e+000,-4.72310826e-002
8.53635757e+000,-4.90699752e-002
8.55503669e+000,-5.09088677e-002
8.57371581e+000,-5.19914833e-002
8.59239493e+000,-5.29563544e-002
8.61107405e+000,-5.39212255e-002
8.62975317e+000,-5.48860966e-002
8.64843229e+000,-5.58509677e-002
8.66711141e+000,-5.68158388e-002
8.68579053e+000,-5.77807099e-002
8.70446965e+000,-5.87455810e-002
8.72314877e+000,-5.97104522e-002
8.74182789e+000,-6.06753233e-002
8.76050700e+000,-6.16401944e-002
8.77918612e+000,-6.26050655e-002
8.79786524e+000,-6.35699366e-002
8.81654436e+000,-6.45348077e-002
8.83522348e+000,-6.51851926e-002
8.85390260e+000,-6.55607485e-002
8.87258172e+000,-6.59363045e-002
8.89126084e+000,-6.63118604e-002
8.90993996e+000,-6.66874163e-002
8.92861908e+000,-6.70629723e-002
8.94729820e+000,-6.74385282e-002
8.96597732e+000,-6.77812945e-002
8.98465644e+000,-6.73941237e-002
9.00333556e+000,-6.70069530e-002
9.02201468e+000,-6.66197822e-002
9.04069380e+000,-6.62326115e-002
9.05937292e+000,-6.58454407e-002
9.07805203e+000,-6.54582699e-002
9.09673115e+000,-6.50710992e-002
9.11541027e+000,-6.46839284e-002
9.13408939e+000,-6.42967577e-002
9.15276851e+000,-6.39095869e-002
9.17144763e+000,-6.35224161e-002
9.19012675e+000,-6.35475397e-002
9.20880587e+000,-6.36026787e-002
9.22748499e+000,-6.36578176e-002
9.24616411e+000,-6.37129565e-002
9.26484323e+000,-6.37680955e-002
9.28352235e+000,-6.38232344e-002
9.30220147e+000,-6.38783734e-002
9.32088059e+000,-6.39335123e-002
9.33955971e+000,-6.39886513e-002
9.35823883e+000,-6.40437902e-002
9.37691795e+000,-6.40989292e-002
9.39559706e+000,-6.41540681e-002
9.41427618e+000,-6.42092070e-002
9.43295530e+000,-6.42643460e-002
9.45163442e+000,-6.43194849e-002
9.47031354e+000,-6.43746239e-002
9.48899266e+000,-6.44297628e-002
9.50767178e+000,-6.44849018e-002
9.52635090e+000,-6.45400407e-002
9.54503002e+000,-6.45951797e-002
9.56370914e+000,-6.46503186e-002
9.58238826e+000,-6.47054576e-002
9.60106738e+000,-6.47605965e-002
9.61974650e+000,-6.48157354e-002
9.63842562e+000,-6.48708744e-002
9.65710474e+000,-6.49260133e-002
9.67578386e+000,-6.49811523e-002
9.69446298e+000,-6.50362912e-002
9.71314209e+000,-6.50914302e-002
9.73182121e+000,-6.51465691e-002
9.75050033e+000,-6.52017081e-002
9.76917945e+000,-6.52568470e-002
9.78785857e+000,-6.53119859e-002
9.80653769e+000,-6.53671249e-002
9.82521681e+000,-6.54222638e-002
9.84389593e+000,-6.51494337e-002
9.86257505e+000,-6.48263583e-002
9.88125417e+000,-6.45032830e-002
9.89993329e+000,-6.41802077e-002
9.91861241e+000,-6.38571324e-002
9.93729153e+000,-6.35340570e-002
9.95597065e+000,-6.32109817e-002
9.97464977e+000,-6.28879064e-002
9.99332889e+000,-6.25648311e-002
1.00120080e+001,-6.22417558e-002
1.00306871e+001,-6.19186804e-002
1.00493662e+001,-6.15956051e-002
1.00680454e+001,-6.12725298e-002
1.00867245e+001,-6.09494545e-002
1.01054036e+001,-6.06263791e-002
1.01240827e+001,-6.03033038e-002
1.01427618e+001,-5.99802285e-002
1.01614410e+001,-5.96571532e-002
1.01801201e+001,-5.93340778e-002
1.01987992e+001,-5.90110025e-002
1.02174783e+001,-5.86879272e-002
1.02361574e+001,-5.83648519e-002
1.02548366e+001,-5.80417765e-002
1.02735157e+001,-5.77187012e-002
1.02921948e+001,-5.73956259e-002
1.03108739e+001,-5.70725506e-002
1.03295530e+001,-5.67494752e-002
1.03482322e+001,-5.64263999e-002
1.03669113e+001,-5.61033246e-002
1.03855904e+001,-5.57802493e-002
1.04042695e+001,-5.54571739e-002
1.04229486e+001,-5.51340986e-002
1.04416278e+001,-5.48110233e-002
1.04603069e+001,-5.44879480e-002
1.04789860e+001,-5.43691655e-002
1.04976651e+001,-5.43317929e-002
1.05163442e+001,-5.42944204e-002
1.05350233e+001,-5.42570478e-002
1.05537025e+001,-5.42196752e-002
1.05723816e+001,-5.41823027e-002
1.05910607e+001,-5.41449301e-002
1.06097398e+001,-5.41075575e-002
1.06284189e+001,-5.40701849e-002
1.06470981e+001,-5.40328124e-002
1.06657772e+001,-5.39954398e-002
1.06844563e+001,-5.39580672e-002
1.07031354e+001,-5.39206947e-002
1.07218145e+001,-5.38833221e-002
1.07404937e+001,-5.38459495e-002
1.07591728e+001,-5.38085769e-002
1.07778519e+001,-5.37712044e-002
1.07965310e+001,-5.37338318e-002
1.08152101e+001,-5.36964592e-002
1.08338893e+001,-5.36590867e-002
1.08525684e+001,-5.36217141e-002
1.08712475e+001,-5.35843415e-002
1.08899266e+001,-5.35469689e-002
1.09086057e+001,-5.35095964e-002
1.09272849e+001,-5.34722238e-002
1.09459640e+001,-5.34348512e-002
1.09646431e+001,-5.33974787e-002
1.09833222e+001,-5.33601061e-002
1.10020013e+001,-5.33227335e-002
1.10206805e+001,-5.31734937e-002
1.10393596e+001,-5.30015102e-002
1.10580387e+001,-5.28295266e-002
1.10767178e+001,-5.26575430e-002
1.10953969e+001,-5.24855595e-002
1.11140761e+001,-5.23135759e-002
1.11327552e+001,-5.21415924e-002
1.11514343e+001,-5.19696088e-002
1.11701134e+001,-5.17976253e-002
1.11887925e+001,-5.16256417e-002
1.12074716e+001,-5.14536581e-002
1.12261508e+001,-5.12816746e-002
1.12448299e+001,-5.11096910e-002
1.12635090e+001,-5.09377075e-002
1.12821881e+001,-5.07657239e-002
1.13008672e+001,-5.05937404e-002
1.13195464e+001,-5.04217568e-002
1.13382255e+001,-5.02497732e-002
1.13569046e+001,-5.00777897e-002
1.13755837e+001,-4.99058061e-002
1.13942628e+001,-4.97338226e-002
1.14129420e+001,-4.95618390e-002
1.14316211e+001,-4.93898555e-002
1.14503002e+001,-4.92178719e-002
1.14689793e+001,-4.90458883e-002
1.14876584e+001,-4.88739048e-002
1.15063376e+001,-4.87019212e-002
1.15250167e+001,-4.85299377e-002
1.15436958e+001,-4.83579541e-002
1.15623749e+001,-4.81859706e-002
1.15810540e+001,-4.80139870e-002
1.15997332e+001,-4.78420035e-002
1.16184123e+001,-4.76700199e-002
1.16370914e+001,-4.74980363e-002
1.16557705e+001,-4.73260528e-002
1.16744496e+001,-4.71540692e-002
1.16931288e+001,-4.69820857e-002
1.17118079e+001,-4.68101021e-002
1.17304870e+001,-4.66381186e-002
1.17491661e+001,-4.64661350e-002
1.17678452e+001,-4.62941514e-002
1.17865243e+001,-4.61221679e-002
1.18052035e+001,-4.60526804e-002
1.18238826e+001,-4.60043542e-002
1.18425617e+001,-4.58832508e-002
1.18612408e+001,-4.57386245e-002
